alpha,max_thickness,chord_at_max_thickness,max_camber,chord_at_max_camber,reynolds_no,CL,CD
8.0,12.0,30.1,6.0,39.6,1000000,1.4931,0.01135
4.0,14.0,29.5,2.0,39.6,1000000,0.6973,0.00727
-4.0,24.0,29.4,4.0,40.0,1000000,-0.0898,0.00984
9.25,14.0,29.5,2.0,39.6,100000,1.1191,0.0267
-4.5,18.0,30.0,2.0,40.0,1000000,-0.2483,0.00836
-18.0,21.0,30.0,2.0,40.0,1000000,-1.2616,0.04619
6.5,8.0,29.9,2.0,40.0,1000000,0.9227,0.01216
8.5,21.0,30.0,4.0,40.0,200000,1.2631,0.02108
5.75,11.0,29.5,2.5,39.6,1000000,0.9255,0.00903
2.75,12.2,22.5,0.0,0.0,100000,0.4089,0.01676
11.5,10.0,30.0,0.0,0.0,1000000,1.2099,0.01868
-13.25,21.0,30.0,4.0,40.0,1000000,-0.8947,0.01598
-3.0,8.0,30.0,0.0,0.0,200000,-0.3731,0.00914
-5.75,8.0,29.9,2.0,40.0,100000,-0.4562,0.03954
-1.0,18.0,30.0,4.0,40.0,50000,-0.0558,0.04671
-6.75,15.0,30.0,2.0,40.0,200000,-0.6306,0.0195
-6.25,12.0,30.1,6.0,39.6,200000,-0.0552,0.0411
-3.25,8.0,30.0,1.0,40.0,50000,-0.3137,0.01759
1.75,12.0,29.9,1.0,40.0,1000000,0.3065,0.0056
3.5,11.0,29.5,2.5,39.6,200000,0.7269,0.01085
4.25,12.0,30.0,0.0,0.0,200000,0.5571,0.01203
-5.0,18.0,30.0,4.0,40.0,200000,-0.0827,0.01726
-11.75,21.0,30.0,0.0,0.0,200000,-1.0675,0.02752
-13.0,12.2,22.5,0.0,0.0,200000,-1.2038,0.04328
-2.25,18.0,30.0,4.0,40.0,200000,0.2293,0.01418
4.0,15.0,30.0,0.0,0.0,200000,0.5417,0.01363
1.25,24.0,30.0,0.0,0.0,200000,0.1253,0.0151
11.0,11.0,29.5,2.5,39.6,1000000,1.2903,0.01825
-14.5,12.0,29.9,1.0,40.0,1000000,-1.3359,0.02486
-2.75,14.0,29.5,2.0,39.6,1000000,-0.0562,0.00711
7.0,10.0,29.9,1.0,50.0,100000,0.8331,0.02473
13.5,9.0,29.3,6.0,39.6,200000,1.4592,0.06103
11.25,24.0,29.4,4.0,40.0,100000,0.5178,0.11172
-11.0,24.0,30.0,0.0,0.0,50000,-0.216,0.13441
-13.25,21.0,30.0,2.0,40.0,100000,-0.9439,0.05559
-17.5,24.0,29.7,2.0,40.0,1000000,-1.2204,0.04508
6.75,15.0,30.0,0.0,0.0,100000,0.8024,0.02169
7.5,8.0,30.0,1.0,40.0,50000,0.8598,0.04977
-3.75,12.0,30.0,0.0,0.0,1000000,-0.4004,0.00705
8.0,18.0,30.0,2.0,40.0,200000,1.0689,0.01797
9.5,15.0,30.0,2.0,40.0,1000000,1.2204,0.01424
9.75,8.0,30.0,1.0,40.0,1000000,1.1329,0.01823
11.25,24.0,29.4,4.0,40.0,1000000,1.2817,0.0236
0.75,10.0,29.9,2.0,40.0,50000,0.0654,0.02232
-12.5,18.0,30.0,4.0,40.0,1000000,-0.8565,0.01561
13.5,18.0,30.0,2.0,40.0,200000,1.2697,0.03931
-2.25,10.0,29.9,1.0,50.0,50000,-0.0704,0.01907
-8.5,9.0,30.9,0.0,0.0,1000000,-0.9485,0.01286
1.5,18.0,30.0,2.0,40.0,200000,0.3869,0.01269
2.25,15.0,30.0,2.0,40.0,100000,0.5955,0.01736
-8.0,21.0,30.0,2.0,40.0,100000,-0.887,0.03331
-8.75,18.0,30.0,0.0,0.0,50000,-0.8928,0.04743
-0.5,9.0,30.9,0.0,0.0,100000,-0.0085,0.01303
12.75,24.0,30.0,0.0,0.0,1000000,1.2171,0.02085
3.25,10.0,30.0,0.0,0.0,50000,0.4369,0.0211
-0.25,8.0,29.9,2.0,40.0,1000000,0.2123,0.00444
15.25,9.0,30.9,0.0,0.0,1000000,1.077,0.07545
-12.25,24.0,29.4,4.0,40.0,200000,-0.8534,0.03389
-0.5,12.0,29.9,1.0,40.0,1000000,0.0671,0.00553
16.25,12.0,30.1,6.0,39.6,1000000,1.696,0.06861
-7.75,12.0,30.1,6.0,39.6,1000000,-0.1831,0.01172
6.75,9.0,30.9,0.0,0.0,1000000,0.7966,0.01097
-4.5,12.0,30.0,4.0,40.0,200000,-0.0618,0.01758
5.5,15.0,29.5,2.0,39.6,50000,0.6721,0.04436
6.0,12.0,30.0,4.0,40.0,1000000,1.128,0.00884
8.25,15.0,30.0,2.0,40.0,200000,1.0781,0.01757
8.0,12.0,30.0,4.0,40.0,100000,1.2769,0.02285
-4.0,12.0,30.0,2.0,40.0,1000000,-0.1918,0.00768
-1.75,24.0,29.4,4.0,40.0,200000,0.1859,0.01655
-11.75,24.0,29.4,4.0,40.0,1000000,-0.5377,0.01363
-0.25,12.0,30.0,2.0,40.0,200000,0.2372,0.01006
-10.5,18.0,30.0,2.0,40.0,100000,-0.9819,0.04106
-13.0,24.0,29.4,4.0,40.0,200000,-0.9002,0.03646
4.75,11.0,29.5,2.5,39.6,50000,0.627,0.03809
3.25,10.0,30.0,0.0,0.0,1000000,0.3542,0.00679
-1.25,8.0,29.9,2.0,40.0,50000,-0.0363,0.01628
14.75,15.0,30.9,4.0,40.2,200000,1.3824,0.04698
13.0,21.0,30.0,0.0,0.0,200000,1.1057,0.03215
8.5,11.0,29.5,2.5,39.6,1000000,1.1363,0.01347
8.75,12.0,30.0,4.0,40.0,100000,1.3197,0.02372
-3.25,11.0,29.5,2.5,39.6,50000,-0.3514,0.02727
5.0,8.0,30.0,1.0,40.0,1000000,0.6628,0.0095
-7.75,10.0,30.0,0.0,0.0,100000,-0.8149,0.03338
3.25,21.0,30.0,2.0,40.0,100000,0.69,0.02496
9.25,8.0,30.0,0.0,0.0,100000,0.5654,0.09211
-1.0,12.0,30.0,2.0,40.0,200000,0.1195,0.01017
8.25,10.0,29.9,1.0,50.0,200000,0.9528,0.02466
-8.0,12.0,30.1,6.0,39.6,50000,-0.342,0.12106
-2.75,9.0,30.9,0.0,0.0,100000,-0.4276,0.01237
-8.0,18.0,30.0,2.0,40.0,100000,-0.8738,0.0313
12.0,9.0,29.3,6.0,39.6,1000000,1.5346,0.03018
-13.25,12.0,30.0,2.0,40.0,1000000,-1.169,0.02212
10.75,8.0,29.9,2.0,40.0,100000,0.7732,0.09236
3.75,12.0,30.0,0.0,0.0,100000,0.5162,0.01493
-11.5,12.2,22.5,0.0,0.0,1000000,-1.2441,0.01575
8.0,21.0,30.0,4.0,40.0,100000,1.0909,0.03725
14.25,12.0,30.0,2.0,40.0,1000000,1.5311,0.02751
15.5,14.0,29.5,2.0,39.6,1000000,1.5299,0.03723
-7.0,12.0,30.1,6.0,39.6,100000,-0.3193,0.10099
-8.5,18.0,30.0,4.0,40.0,1000000,-0.4513,0.01093
15.0,8.0,30.0,1.0,40.0,1000000,0.9988,0.08384
-8.25,14.0,29.5,2.0,39.6,200000,-0.7994,0.02381
-1.75,21.0,30.0,4.0,40.0,200000,0.2792,0.0149
-1.25,12.2,22.5,0.0,0.0,50000,-0.0928,0.02235
-16.25,18.0,30.0,2.0,40.0,200000,-0.9766,0.06602
-9.0,15.0,30.0,2.0,40.0,50000,-0.586,0.07654
-7.5,24.0,29.4,4.0,40.0,1000000,-0.2392,0.01048
-9.5,18.0,30.0,0.0,0.0,1000000,-1.0346,0.01334
-1.0,12.2,22.5,0.0,0.0,1000000,-0.1023,0.00729
5.0,14.0,29.5,2.0,39.6,200000,0.8215,0.01306
-4.0,10.0,29.9,2.0,40.0,50000,-0.3492,0.02641
-1.5,12.0,30.1,6.0,39.6,100000,0.3729,0.02648
-7.75,9.0,30.9,0.0,0.0,50000,-0.7702,0.05414
3.25,21.0,30.0,2.0,40.0,50000,0.3058,0.06075
-2.75,10.0,30.0,0.0,0.0,1000000,-0.2908,0.00622
1.5,12.0,30.0,2.0,40.0,1000000,0.3979,0.00559
-1.25,8.0,30.0,1.0,40.0,200000,-0.082,0.00845
7.0,9.0,30.9,0.0,0.0,1000000,0.8195,0.01108
6.75,21.0,30.0,2.0,40.0,200000,1.0645,0.01851
11.25,21.0,30.0,0.0,0.0,1000000,1.1594,0.01612
